IncidentNumber	AgencyNumber	FromDate	DrugType	Address1	Address2	City	ZIP	LocationType1	LocationType2	SuspectNumber	Race	Age	Sex	TypeofCriminalActivity	OhioRevisedCode
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	3.0	"W"	49.0	"M"	"D"	"292503C2"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	3.0	"W"	49.0	"M"	"D"	"292503C4"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	3.0	"W"	49.0	"M"	"P"	"292512"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	4.0	"W"	52.0	"F"	""	"292303"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	4.0	"W"	52.0	"F"	"D"	"292503C1"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	4.0	"W"	52.0	"F"	"D"	"292503C2"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	4.0	"W"	52.0	"F"	"D"	"292503C4"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	4.0	"W"	52.0	"F"	"P"	"292512"
"13-020110"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"45 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	29.0	"M"	""	"292303"
"13-020110"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"45 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	29.0	"M"	"D"	"292503C1"
"13-020110"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"45 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	29.0	"M"	"D"	"292503C4"
"13-020110"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"45 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	29.0	"M"	"P"	"292512"
"13-020110"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"45 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	2.0	"W"	28.0	"F"	""	"292303"
"13-020110"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"45 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	2.0	"W"	28.0	"F"	"D"	"292503C1"
"13-020110"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"45 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	2.0	"W"	28.0	"F"	"D"	"292503C4"
"13-020110"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"45 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	2.0	"W"	28.0	"F"	"P"	"292512"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	52.0	"M"	""	"292303"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	52.0	"M"	"D"	"292503C1"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	52.0	"M"	"D"	"292503C4"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	52.0	"M"	"P"	"292511C1"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	52.0	"M"	"P"	"292511C3"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	52.0	"M"	"P"	"292514"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	2.0	"W"	36.0	"F"	""	"292303"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	2.0	"W"	36.0	"F"	"D"	"292503C1"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	2.0	"W"	36.0	"F"	"D"	"292503C4"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	2.0	"W"	36.0	"F"	"P"	"292511C1"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	2.0	"W"	36.0	"F"	"P"	"292511C3"
"13-020116"	"OH0400200"	41329.8930555556	8.0	"WELLS MANOR"	"51 460 S MICHIGAN AVE"	"WELLSTON"	45692.0	2.0	0.0	2.0	"W"	36.0	"F"	"P"	"292514"
"13-030119"	"OH0400200"	41334.925	6.0	""	"SR 327 @ CORPORATION LIMITS"	"WELLSTON"	45692.0	47.0	0.0	1.0	"W"	19.0	"M"	"P"	"292511C2"
"13-0410---00"	"OH0400100"	41384.7743055556	1.0	"EDDIE JONES PARK"	"HARDING AVENUE"	"JACKSON"	45640.0	48.0	0.0	1.0	"W"	29.0	"F"	"P"	"292511C1"
"13-0410---00"	"OH0400100"	41384.7743055556	1.0	"EDDIE JONES PARK"	"HARDING AVENUE"	"JACKSON"	45640.0	48.0	0.0	1.0	"W"	29.0	"F"	"P"	"292514"
"13-0410---00"	"OH0400100"	41384.7743055556	1.0	"EDDIE JONES PARK"	"HARDING AVENUE"	"JACKSON"	45640.0	48.0	0.0	2.0	"W"	42.0	"M"	"P"	"292511C1"
"13-0410---00"	"OH0400100"	41384.7743055556	1.0	"EDDIE JONES PARK"	"HARDING AVENUE"	"JACKSON"	45640.0	48.0	0.0	2.0	"W"	42.0	"M"	"P"	"292514"
"13-0420---00"	"OH0400100"	41386.8909722222	6.0	""	"WATER ST"	"JACKSON"	45640.0	47.0	0.0	1.0	"W"	28.0	"M"	""	"451119A1A"
"13-0420---00"	"OH0400100"	41386.8909722222	6.0	""	"WATER ST"	"JACKSON"	45640.0	47.0	0.0	1.0	"W"	28.0	"M"	"U"	"292511"
"13-050271"	"OH0400200"	41397.7847222222	6.0	"THE STORE ON BROADWAY & PENN"	"S. PENNSYLVANIA AVE."	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	26.0	"M"	"P"	"292511C3"
"13-050271"	"OH0400200"	41397.7847222222	6.0	"THE STORE ON BROADWAY & PENN"	"S. PENNSYLVANIA AVE."	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	26.0	"M"	"P"	"292512"
"13-050271"	"OH0400200"	41397.7847222222	6.0	"THE STORE ON BROADWAY & PENN"	"S. PENNSYLVANIA AVE."	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	26.0	"M"	"P"	"292514"
"13-050335"	"OH0400200"	41416.9569444444	8.0	""	"PENN AND D ST"	"WELLSTON"	45692.0	47.0	0.0	1.0	"W"	57.0	"M"	"P"	"292511C1"
"13-050341"	"OH0400200"	41417.8895833333	1.0	""	"101 E D ST"	"WELLSTON"	45692.0	1.0	0.0	1.0	"W"	29.0	"M"	"P"	"292511C6"
"13-050341"	"OH0400200"	41417.8895833333	1.0	""	"101 E D ST"	"WELLSTON"	45692.0	1.0	0.0	1.0	"W"	29.0	"M"	"P"	"292512"
"13-050351"	"OH0400200"	41420.98125	6.0	""	"2ND & MICH AVE"	"WELLSTON"	45692.0	47.0	0.0	1.0	"W"	26.0	"M"	"P"	"292511C2"
"13-050351"	"OH0400200"	41420.98125	6.0	""	"2ND & MICH AVE"	"WELLSTON"	45692.0	47.0	0.0	1.0	"W"	26.0	"M"	"P"	"292511C3"
"13-050351"	"OH0400200"	41420.98125	6.0	""	"2ND & MICH AVE"	"WELLSTON"	45692.0	47.0	0.0	1.0	"W"	26.0	"M"	"P"	"292512"
"13-050351"	"OH0400200"	41420.98125	6.0	""	"2ND & MICH AVE"	"WELLSTON"	45692.0	47.0	0.0	1.0	"W"	26.0	"M"	"P"	"292514"
"13-080603"	"OH0400200"	41514.8659722222	1.0	""	"PENNSYLVANIA AVE. @ SR 349"	"WELLSTON"	45692.0	47.0	0.0	1.0	"W"	32.0	"F"	"P"	"292511C6"
"13-1015---04"	"OH0400100"	41520.9027777778	8.0	""	"101 LEE AVE."	"JACKSON"	45640.0	43.0	0.0	1.0	"W"	27.0	"F"	"P"	"292511"
"13-1032---05"	"OH0400100"	41525.84375	6.0	"KROGER"	"530 EAST MAIN STREET"	"JACKSON"	45640.0	77.0	0.0	1.0	"W"	27.0	"F"	"P"	"292511C1"
"13-1032---05"	"OH0400100"	41525.84375	6.0	"KROGER"	"530 EAST MAIN STREET"	"JACKSON"	45640.0	77.0	0.0	2.0	"W"	30.0	"M"	"P"	"292511C1"
"13-1119---00"	"OH0400100"	41545.8888888889	1.0	""	"119 1/2 MORTON STREET"	"JACKSON"	45640.0	1.0	0.0	1.0	"W"	28.0	"M"	"P"	"292511"
"13-1189---05"	"OH0400100"	41563.8854166667	1.0	"FILLING STATION"	"214 BRIDGE ST."	"JACKSON"	45640.0	47.0	0.0	1.0	"W"	36.0	"M"	"P"	"292511C6"
"13-1189---05"	"OH0400100"	41563.8854166667	1.0	"FILLING STATION"	"214 BRIDGE ST."	"JACKSON"	45640.0	47.0	0.0	1.0	"W"	36.0	"M"	"P"	"292512"
"13-1189---05"	"OH0400100"	41563.8854166667	1.0	"FILLING STATION"	"214 BRIDGE ST."	"JACKSON"	45640.0	47.0	0.0	2.0	"W"	33.0	"F"	"P"	"292511C6"
"13-1189---05"	"OH0400100"	41563.8854166667	1.0	"FILLING STATION"	"214 BRIDGE ST."	"JACKSON"	45640.0	47.0	0.0	2.0	"W"	33.0	"F"	"P"	"292512"
"13-1200---00"	"OH0400100"	41566.9618055556	6.0	"MARIE LAVEAUS BAR"	"201 E. MAIN STREET"	"JACKSON"	45640.0	26.0	0.0	1.0	"W"	30.0	"M"	""	"291711B2"
"13-1200---00"	"OH0400100"	41566.9618055556	6.0	"MARIE LAVEAUS BAR"	"201 E. MAIN STREET"	"JACKSON"	45640.0	26.0	0.0	1.0	"W"	30.0	"M"	"P"	"292511"
"13-120848"	"OH0400200"	41609.5534722222	6.0	"FRUTH PHARMACY"	"120 W. 2ND ST."	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	31.0	"M"	""	"291302A1"
"13-120848"	"OH0400200"	41609.5534722222	6.0	"FRUTH PHARMACY"	"120 W. 2ND ST."	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	31.0	"M"	""	"292303A4"
"13-120848"	"OH0400200"	41609.5534722222	6.0	"FRUTH PHARMACY"	"120 W. 2ND ST."	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	31.0	"M"	"P"	"292522"
"13-1311---00"	"OH0400100"	41593.7416666667	4.0	""	"SOUTH ST. & PEARL ST."	"JACKSON"	45640.0	77.0	0.0	1.0	"W"	35.0	"M"	"P"	"292511"
"13-1311---00"	"OH0400100"	41593.7416666667	4.0	""	"SOUTH ST. & PEARL ST."	"JACKSON"	45640.0	77.0	0.0	1.0	"W"	35.0	"M"	"P"	"292512"
"13-1351---00"	"OH0400100"	41600.0	5.0	""	"HARPER"	"JACKSON"	45640.0	1.0	0.0	1.0	"W"	51.0	"M"	"P"	"292511C1"
"13-1436---05"	"OH0400100"	41626.8159722222	5.0	"WALMART"	"100 WALMART DR"	"JACKSON"	45640.0	39.0	0.0	1.0	"W"	36.0	"F"	""	"291121A1"
"13-1436---05"	"OH0400100"	41626.8159722222	5.0	"WALMART"	"100 WALMART DR"	"JACKSON"	45640.0	39.0	0.0	1.0	"W"	36.0	"F"	""	"291302A1"
"13-1436---05"	"OH0400100"	41626.8159722222	5.0	"WALMART"	"100 WALMART DR"	"JACKSON"	45640.0	39.0	0.0	1.0	"W"	36.0	"F"	"P"	"292511"
"13-1436---05"	"OH0400100"	41626.8159722222	5.0	"WALMART"	"100 WALMART DR"	"JACKSON"	45640.0	39.0	0.0	1.0	"W"	36.0	"F"	"P"	"292514C1"
"13-2375---JM"	"OH0400000"	41583.8104166667	1.0	""	"BEAVER PIKE AND VALLEY CHAPEL RD"	"RD        JACKSON"	45640.0	77.0	0.0	1.0	"W"	33.0	"F"	"P"	"292511C6"
"13-2420---JM"	"OH0400000"	41586.8402777778	6.0	""	"SR 93 AND DICKENS RD"	"OAK HILL"	45656.0	77.0	0.0	1.0	"W"	26.0	"M"	"P"	"292511C2"
"13-2420---JM"	"OH0400000"	41586.8402777778	6.0	""	"SR 93 AND DICKENS RD"	"OAK HILL"	45656.0	77.0	0.0	1.0	"W"	26.0	"M"	"P"	"292511C3"
"13-2424---ST"	"OH0400000"	41587.0368055556	2.0	"JACKSON COUNTY JAIL"	"350 PORTSMONTH STREET"	"JACKSON"		12.0	0.0	1.0	"W"	25.0	"M"	"U"	"292136A2"
"14-0224---04"	"OH0400100"	41706.3958333333	8.0	""	""	"JACKSON"	45640.0	49.0	0.0	1.0	"W"	18.0	"M"	"P"	"292511"
"14-10670--10"	"OH0400200"	41937.6708333333	6.0	""	"MCDONALDS PARKING LOT"	"WELLSTON"	45692.0	48.0	0.0	1.0	"W"	33.0	"M"	"P"	"292511C1"
"14-10758--10"	"OH0400200"	41940.4673611111	1.0	""	"WEST 4TH STREET & ARKANSAS AVE"	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	29.0	"F"	""	"451119A1A"
"14-10758--10"	"OH0400200"	41940.4673611111	1.0	""	"WEST 4TH STREET & ARKANSAS AVE"	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	29.0	"F"	"N"	"291922"
"14-10758--10"	"OH0400200"	41940.4673611111	1.0	""	"WEST 4TH STREET & ARKANSAS AVE"	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	29.0	"F"	"P"	"292511C6"
"14-1522---04"	"OH0400100"	41996.7604166667	4.0	"WALGREENS"	"521 E. MAIN ST"	"JACKSON"	45640.0	77.0	0.0	1.0	"W"	62.0	"F"	"D"	"292503"
"14-1522---04"	"OH0400100"	41996.7604166667	4.0	"WALGREENS"	"521 E. MAIN ST"	"JACKSON"	45640.0	77.0	0.0	2.0	"W"	43.0	"M"	"D"	"292503"
"14-2039---02"	"OH0400200"	41695.7715277778	6.0	""	"21 S. MICHIGAN AVE."	"WELLSTON"	45692.0	1.0	0.0	1.0	"W"	39.0	"M"	"P"	"292511C1"
"14-2039---02"	"OH0400200"	41695.7715277778	6.0	""	"21 S. MICHIGAN AVE."	"WELLSTON"	45692.0	1.0	0.0	1.0	"W"	39.0	"M"	"U"	"292511"
"14-2316---JS"	"OH0400000"	41793.6458333333	1.0	""	"1256 SANDS HILL ROAD"	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	28.0	"F"	"O"	"292502"
"14-3930---RL"	"OH0400000"	41891.4791666667	8.0	"JACKSON HIGH SCHOOL"	"500 VAUGHAN ST"	"JACKSON"	45640.0	8.0	8.0	1.0	"I"	16.0	"F"	"P"	"292511"
"14-4221---JM"	"OH0400000"	41916.7951388889	1.0	""	"US 35 AND 93 OVER PASS"	"JACKSON"	45640.0	47.0	0.0	1.0	"B"	35.0	"M"	"P"	"292511C3"
"14-4221---JM"	"OH0400000"	41916.7951388889	1.0	""	"US 35 AND 93 OVER PASS"	"JACKSON"	45640.0	47.0	0.0	1.0	"B"	35.0	"M"	"P"	"292511C4"
"14-4221---JM"	"OH0400000"	41916.7951388889	1.0	""	"US 35 AND 93 OVER PASS"	"JACKSON"	45640.0	47.0	0.0	1.0	"B"	35.0	"M"	"P"	"292511C6"
"14-4510---RC"	"OH0400000"	41921.4409722222	2.0	"FOUR WINDS COMMUNITY"	"215 SETH AVE"	"JACKSON"	45640.0	77.0	0.0	1.0	"W"	39.0	"F"	""	"291302A1"
"14-4510---RC"	"OH0400000"	41921.4409722222	2.0	"FOUR WINDS COMMUNITY"	"215 SETH AVE"	"JACKSON"	45640.0	77.0	0.0	1.0	"W"	39.0	"F"	"U"	"292511C1"
"14-4513---JM"	"OH0400000"	41935.6777777778	6.0	""	"2530 PATTONSVILLE RD"	"JACKSON"	45640.0	77.0	0.0	1.0	"W"	34.0	"F"	""	"291113A"
"14-4513---JM"	"OH0400000"	41935.6777777778	6.0	""	"2530 PATTONSVILLE RD"	"JACKSON"	45640.0	77.0	0.0	1.0	"W"	34.0	"F"	""	"4511194"
"14-4513---JM"	"OH0400000"	41935.6777777778	6.0	""	"2530 PATTONSVILLE RD"	"JACKSON"	45640.0	77.0	0.0	1.0	"W"	34.0	"F"	"P"	"292511C1"
"14-4513---JM"	"OH0400000"	41935.6777777778	6.0	""	"2530 PATTONSVILLE RD"	"JACKSON"	45640.0	77.0	0.0	1.0	"W"	34.0	"F"	"P"	"292511C2"
"14-4513---JM"	"OH0400000"	41935.6777777778	6.0	""	"2530 PATTONSVILLE RD"	"JACKSON"	45640.0	77.0	0.0	1.0	"W"	34.0	"F"	"P"	"292511C6"
"14-4594---JM"	"OH0400000"	41941.9583333333	1.0	""	"FRONT ST"	"OAK HILL"	45656.0	77.0	0.0	1.0	"B"	27.0	"F"	"P"	"292511C6"
"14-4594---JM"	"OH0400000"	41941.9583333333	1.0	""	"FRONT ST"	"OAK HILL"	45656.0	77.0	0.0	2.0	"B"	22.0	"M"	"P"	"292511C6"
"14-4879---05"	"OH0400200"	41770.8236111111	6.0	""	"S. PENNSYLVANIA AND 7TH ST."	"WELLSTON"	45692.0	52.0	0.0	1.0	"W"	32.0	"F"	"P"	"292511C1"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	29.0	"F"	""	"292303A4"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	29.0	"F"	"B"	"292503C4"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	29.0	"F"	"P"	"292511C2"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	29.0	"F"	"P"	"292511C3"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	29.0	"F"	"P"	"292511C4"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	29.0	"F"	"P"	"292512"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	29.0	"F"	"P"	"292514"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	2.0	"W"	40.0	"F"	""	"292303A4"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	2.0	"W"	40.0	"F"	"B"	"292503C4"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	2.0	"W"	40.0	"F"	"P"	"292511C2"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	2.0	"W"	40.0	"F"	"P"	"292511C3"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	2.0	"W"	40.0	"F"	"P"	"292511C4"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	2.0	"W"	40.0	"F"	"P"	"292512"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	2.0	"W"	40.0	"F"	"P"	"292514"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	3.0	"W"	24.0	"F"	""	"292303A4"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	3.0	"W"	24.0	"F"	"B"	"292503C4"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	3.0	"W"	24.0	"F"	"P"	"292511C2"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	3.0	"W"	24.0	"F"	"P"	"292511C3"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	3.0	"W"	24.0	"F"	"P"	"292511C4"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	3.0	"W"	24.0	"F"	"P"	"292512"
"14-6024---06"	"OH0400200"	41800.5451388889	8.0	""	"S NEW HAMPSHIRE @ SEWER PLANT"	"WELLSTON"	45692.0	77.0	0.0	3.0	"W"	24.0	"F"	"P"	"292514"
"14-7798---08"	"OH0400200"	41855.5118055556	6.0	""	"14TH  & NEW YORK AVE"	"WELLSTON"	45692.0	77.0	0.0	1.0	"U"	40.0	"M"	"P"	"292511C1"
"15-010021"	"OH0400200"	42015.7388888889	6.0	""	"OHIO AVE. AND 2ND ST."	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	39.0	"F"	"P"	"292511C1"
"15-010021"	"OH0400200"	42015.7388888889	6.0	""	"OHIO AVE. AND 2ND ST."	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	39.0	"F"	"P"	"292511C2"
"15-010021"	"OH0400200"	42015.7388888889	6.0	""	"OHIO AVE. AND 2ND ST."	"WELLSTON"	45692.0	77.0	0.0	1.0	"W"	39.0	"F"	"P"	"292511C3"
